Date of Contract;Municipality Name;Zone Name;Real Estate Type;Area in Square Meters;Price per Square Foot;Real Estate Value
2025-02-06;Umm Slal;Umm Al Amad;Vacant Land;482;260;1350000
2025-02-06;Doha;Nuaija 43;Residence;572;374;2300000
2025-02-06;Doha;Al Thumama 46;Vacant Land;928;355;3550000
2025-02-06;Al Rayyan;Muaither 53;Residence;573;397;2450000
2025-02-06;Al Daayen;Simaisma;Vacant Land;426;327;1500000
2025-02-06;Al Daayen;Simaisma;Vacant Land;435;320;1500000
2025-02-06;Al Wakrah;Al Mashaf;Vacant Land;450;248;1200000
2025-02-06;Al Khor and Al Dakhira;Al Khor;Residence;472;295;1500000
2025-02-06;Doha;Al Mansoura;Residence;555;1004;6000000
2025-02-06;Doha;Najma;Residence;242;767;2000000
2025-02-06;Doha;Najma;Residence;399;664;2850000
2025-02-06;Al Rayyan;Al Aziziya;Residence;1821;1071;21000000
2025-02-06;Al Daayen;Al Ebb;Vacant Land;643;289;2000000
2025-02-06;Al Wakrah;Al Wukair;Residence;500;557;3000000
2025-02-06;Al Wakrah;Al Wakrah;Vacant Land;540;298;1734000
2025-02-06;Doha;The Pearl Island;Residential Unit;128;1262.76;1750000
2025-02-06;Al Daayen;Lusail 69;Residential Unit;97;764.24;800000
2025-02-06;Al Daayen;Lusail 69;Residential Unit;124;1130.39;1509000
2025-02-06;Doha;Legtaifiya;Residence;1225;394;5200000
2025-02-06;Al Rayyan;Muaither 55;Vacant Land;698;386;2900000
2025-02-06;Al Daayen;Rawdat Al Hamama;Vacant Land;1470;338;5350000
2025-02-06;Al Daayen;Simaisma;Vacant Land;427;326;1500000
2025-02-05;Umm Slal;Umm Slal Ali;Vacant Land;588;250;1582308
2025-02-05;Doha;Al Sadd 38;Residence;2387;895;23000000
2025-02-05;Doha;Nuaija 43;Residence;764;1319;10850000
2025-02-05;Doha;Al Thumama 50;Residence;454;491;2400000
2025-02-05;Al Rayyan;Bu Hamour;Residence;450;495;2400000
2025-02-05;Al Shamal;Al Ruwais;Vacant Land;450;165;800000
2025-02-05;Doha;Najma;Residence;137;712;1050000
2025-02-05;Doha;Al Thumama 46;Residence;450;723;3500000
2025-02-05;Al Daayen;Al Sakhama;Vacant Land;490;304;1605000
2025-02-05;Al Wakrah;Al Wakrah;Residence;523;355;2000000
2025-02-05;Al Wakrah;Al Wakrah;Residence;523;320;1800000
2025-02-05;Doha;Legtaifiya;Residential Unit;137;907.51;1345000
2025-02-05;Doha;The Pearl Island;Residential Unit;182;1124.66;2210878
2025-02-05;Doha;Najma;Residence;144;774;1200000
2025-02-05;Doha;Al Thumama 50;Vacant Land;578;300;1866000
2025-02-05;Al Rayyan;Muaither 53;Vacant Land;500;303;1630000
2025-02-05;Al Shamal;Madinat Al Shamal;Residence;732;233;1833333
2025-02-05;Al Daayen;Jeryan Jenaihat;Vacant Land;600;279;1800000
2025-02-04;Doha;The Pearl Island;Residential Unit;123;1125.82;1500000
2025-02-04;Doha;The Pearl Island;Residential Unit;184;1258.37;2500000
2025-02-04;Doha;New Slata;Vacant Land;639;371;2550000
2025-02-04;Doha;Al Thumama 50;Residence;577;580;3600000
2025-02-04;Al Rayyan;Ain Khalid;Residence;701;689;5200000
2025-02-04;Al Daayen;Umm Qarn;Vacant Land;640;282;1942000
2025-02-04;Doha;The Pearl Island;Residential Unit;87;1171.14;1100000
2025-02-04;Doha;The Pearl Island;Residential Unit;223;1158.08;2784780
2025-02-04;Doha;Al Mansoura;Residence;483;720;3743290
2025-02-04;Doha;Fereej Abdel Aziz;Residence;254;834;2279000
2025-02-04;Doha;Umm Ghuwailina;Residential Building;344;884;3275000
2025-02-04;Al Rayyan;Gharrafat Al Rayyan;Residence;500;404;2175000
2025-02-04;Al Rayyan;Fereej Al Murrah;Residence;776;467;3900000
2025-02-04;Doha;The Pearl Island;Residential Unit;176;1239.76;2350000
2025-02-04;Doha;The Pearl Island;Residential Unit;233;1152.3;2900000
2025-02-04;Doha;Fereej Abdel Aziz;Residence;204;774;1700000
2025-02-04;Al Rayyan;Al Aziziya;Residence;1821;944;18500000
2025-02-03;Al Daayen;Lusail 69;Residential Unit;131;1128.03;1600200
2025-02-03;Al Daayen;Lusail 69;Residential Unit;70;1251.88;950000
2025-02-03;Al Rayyan;Mesaimeer;Residential Building and  Shops;1200;1951;25200000
2025-02-03;Al Rayyan;Muaither 53;Residence;410;385;1700000
2025-02-03;Al Shamal;Madinat Al Shamal;Residence;1062;240;2743000
2025-02-03;Al Wakrah;Al Wakrah;Vacant Land;1168;266;3350000
2025-02-03;Doha;The Pearl Island;Residential Unit;74;1421.22;1140000
2025-02-03;Doha;The Pearl Island;Residential Unit;152;992.21;1630200
2025-02-03;Doha;The Pearl Island;Residential Unit;132;983.92;1400000
2025-02-03;Al Rayyan;Muaither 55;Vacant Land;693;255;1900000
2025-02-03;Al Rayyan;Mebaireek;Residence;1164;200;2500000
2025-02-03;Al Rayyan;Muraikh;Residence;550;794;4700000
2025-02-03;Al Wakrah;Al Wukair;Residence;630;575;3900000
2025-02-03;Al Wakrah;Al Wakrah;Vacant Land;497;209;1116031
2025-02-03;Al Wakrah;Al Mashaf;Vacant Land;450;217;1050000
2025-02-03;Doha;The Pearl Island;Residential Unit;75;1299.26;1050000
2025-02-03;Doha;The Pearl Island;Residential Unit;137;1227.14;1812649
2025-02-03;Doha;Al Sadd 38;Residence;599;807;5200000
2025-02-03;Al Rayyan;Muaither 55;Residence;758;552;4500000
2025-02-03;Al Daayen;Jeryan Jenaihat;Residence;382;540;2220000
2025-02-02;Doha;The Pearl Island;Residential Unit;156;1362.87;2296847
2025-02-02;Doha;The Pearl Island;Residential Unit;123;1148.34;1530000
2025-02-02;Umm Slal;Umm Slal Ali;Residence;400;448;1930000
2025-02-02;Umm Slal;Al Kharaitiyat;Residence;808;437;3800000
2025-02-02;Umm Slal;Umm Slal Ali;Residence;611;547;3600000
2025-02-02;Doha;Umm Ghuwailina;Residence;216;645;1500000
2025-02-02;Doha;Al Markhiya;Vacant Land;1777;418;8000000
2025-02-02;Doha;Old Al Ghanim 16;Shops;507;1008;5500000
2025-02-02;Al Daayen;Lusail 69;Residential Unit;115;806.1;1000000
2025-02-02;Doha;The Pearl Island;Residential Unit;193;1177.94;2450000
2025-02-02;Al Rayyan;Bu Hamour;Vacant Land;2188;270;6350000
2025-02-02;Al Shamal;Al Ruwais;Vacant Land;806;127;1100000
2025-02-02;Umm Slal;Al Kharaitiyat;Vacant Land;450;310;1500000
2025-02-02;Al Khor and Al Dakhira;Al Khor;Vacant Land;491;250;1321281
2025-02-02;Doha;Al Markhiya;Vacant Land;1381;538;8000000
2025-02-02;Al Rayyan;Bu Hamour;Vacant Land;2100;281;6350000
2025-02-02;Al Rayyan;Ain Khalid;Vacant Land;569;318;1950000
2025-02-02;Al Rayyan;Fereej Al Soudan 54;Residence;540;396;2300000
2025-02-02;Al Shamal;Madinat Al Shamal;Residence;1360;178;2600000
2025-02-02;Al Daayen;Umm Qarn;Residence;499;572;3070000
2025-02-02;Al Wakrah;Al Wukair;Vacant Land;591;314;2000000
2025-02-02;Al Wakrah;Al Mashaf;Vacant Land;845;228;2075000
2025-01-30;Al Khor and Al Dakhira;Al Khor;Vacant Land;516;360;2000000
2025-01-30;Doha;Al Sadd 38;Vacant Land;481;1381;7150000
2025-01-30;Doha;New Slata;Residence;498;410;2200000
2025-01-30;Al Rayyan;Muraikh;Residence;550;794;4700000
2025-01-30;Al Daayen;Lusail 69;Residential Unit;79;947.28;815000
2025-01-30;Doha;The Pearl Island;Residential Unit;73;1393.8;1100000
2025-01-30;Doha;The Pearl Island;Residential Unit;87;1334.3;1260000
2025-01-30;Doha;The Pearl Island;Residential Unit;87;1392.54;1315000
2025-01-30;Doha;Al Thumama 50;Vacant Land;571;330;2028312
2025-01-30;Doha;Madinat Khalifa South;Vacant Land;592;628;4000000
2025-01-30;Al Rayyan;Muaither 53;Residence;753;419;3400000
2025-01-30;Al Daayen;Umm Qarn;Vacant Land;759;277;2260000
2025-01-30;Al Wakrah;Al Wukair;Vacant Land;700;484;3650000
2025-01-30;Al Wakrah;Al Wukair;Vacant Land;759;225;1838000
2025-01-30;Al Wakrah;Al Wakrah;Vacant Land;593;290;1851000
2025-01-30;Al Wakrah;Al Wakrah;Vacant Land;600;290;1873000
2025-01-30;Al Daayen;Lusail 69;Residential Unit;47;1174.88;605000
2025-01-30;Doha;The Pearl Island;Residential Unit;134;1335.69;1936764
2025-01-30;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;465;300;1500000
2025-01-30;Doha;New Slata;Residence;592;377;2400000
2025-01-30;Al Rayyan;Muraikh;Residence;550;456;2700000
2025-01-30;Al Rayyan;Lebday;Residence;614;227;1500000
2025-01-30;Al Rayyan;Ain Khalid;Vacant Land;605;392;2550000
2025-01-30;Al Daayen;Al Kheesa;Vacant Land;600;372;2400000
2025-01-30;Al Wakrah;Al Wakrah;Residence;628;577;3900000
2025-01-30;Al Wakrah;Al Wakrah;Vacant Land;1267;367;5000000
2025-01-30;Doha;Legtaifiya;Residential Unit;77;1357.92;1130000
2025-01-30;Doha;The Pearl Island;Residential Unit;177;1360.14;2600000
2025-01-30;Doha;Legtaifiya;Residential Unit;124;929.03;1247200
2025-01-30;Doha;The Pearl Island;Residential Unit;396;1474.95;6300000
2025-01-29;Doha;Al Thumama 46;Vacant Land;884;368;3500000
2025-01-29;Doha;Old Airport;Residence;450;427;2070000
2025-01-29;Al Rayyan;Mebaireek;Residence;1164;160;2000000
2025-01-29;Al Shamal;Aba Al Dalouf;Vacant Land;1103;120;1424000
2025-01-29;Al Shamal;Aba Al Dalouf;Vacant Land;600;120;775000
2025-01-29;Al Daayen;Umm Qarn;Residence;499;531;2850000
2025-01-29;Doha;The Pearl Island;Residential Unit;176;1365.45;2600000
2025-01-29;Doha;Al Thumama 50;Vacant Land;571;163;1000000
2025-01-29;Doha;Old Airport;Residence;729;370;2900000
2025-01-29;Doha;Nuaija 44;Commercial Residential Building and  Shops;851;1725;15800000
2025-01-29;Al Rayyan;Muraikh;Residence;928;375;3750000
2025-01-29;Al Rayyan;Baaya;Residential commercial building;1360;2596;38000000
2025-01-29;Al Daayen;Umm Qarn;Vacant Land;499;503;2700000
2025-01-29;Al Daayen;Umm Qarn;Residence;499;521;2800000
2025-01-29;Al Wakrah;Al Wakrah;Residence;666;432;3100000
2025-01-29;Umm Slal;Umm Ebairiya;Residential Unit;352;394.79;1500000
2025-01-29;Doha;The Pearl Island;Residential Unit;175;1207.79;2286414
2025-01-29;Doha;Fereej Abdel Aziz;Vacant Land;346;806;3000000
2025-01-29;Doha;Najma;Residence;134;728;1050000
2025-01-29;Al Rayyan;Al Aziziya;Residence;483;433;2250000
2025-01-29;Al Rayyan;New Al Rayyan;Residence;1099;287;3400000
2025-01-29;Al Rayyan;Al Thumaid;Vacant Land;910;398;3900000
2025-01-29;Al Daayen;Al Sakhama;Residence;600;596;3850000
2025-01-29;Al Daayen;Al Sakhama;Residence;600;588;3800000
2025-01-29;Doha;The Pearl Island;Residential Unit;85;1325.33;1225000
2025-01-29;Doha;The Pearl Island;Residential Unit;120;1338.14;1740960
2025-01-29;Al Daayen;Ghar Thaileb;Residential Unit;178;1195.66;2300000
2025-01-29;Doha;Ghar Thaileb;Residential Unit;102;1132.84;1244250
2025-01-28;Al Daayen;Umm Qarn;Vacant Land;528;528;3000000
2025-01-28;Al Daayen;Umm Qarn;Residence;499;512;2750000
2025-01-28;Al Wakrah;Al Wakrah;Vacant Land;615;300;1985958
2025-01-28;Doha;The Pearl Island;Residential Unit;121;1426.21;1858152
2025-01-28;Doha;Ghar Thaileb;Residential Unit;130;1169.76;1639252
2025-01-28;Umm Slal;Umm Slal Ali;Vacant Land;600;225;1450000
2025-01-28;Doha;Madinat Khalifa South;Residence;591;472;3000000
2025-01-28;Doha;Madinat Khalifa South;Residence;590;504;3200000
2025-01-28;Doha;Old Airport;Residential Building;1009;506;5500000
2025-01-28;Doha;Old Airport;Residential Building;610;548;3600000
2025-01-28;Al Rayyan;Al Aziziya;Vacant Land;420;354;1600000
2025-01-28;Al Rayyan;Al Gharrafa;Residence;650;372;2600000
2025-01-28;Al Daayen;Lusail 69;Vacant Land;10053;150;16211135
2025-01-28;Al Wakrah;Al Wukair;Vacant Land;759;220;1797000
2025-01-28;Doha;The Pearl Island;Residential Unit;112;1242.35;1500000
2025-01-28;Doha;The Pearl Island;Residential Unit;59;1483.58;950000
2025-01-28;Doha;Hazm Al Markhiya;Vacant Land;1225;520;6856800
2025-01-28;Doha;Al Sadd 38;Residence;1824;942;18500000
2025-01-28;Al Rayyan;Al Aziziya;Vacant Land;468;352;1773625
2025-01-28;Al Rayyan;New Al Rayyan;Residence;1099;258;3050000
2025-01-28;Al Rayyan;Ain Khalid;Vacant Land;569;321;1966034
2025-01-28;Al Rayyan;Bu Sidra;Vacant Land;481;478;2474000
2025-01-28;Al Daayen;Al Kheesa;Residence;525;442;2500000
2025-01-28;Doha;The Pearl Island;Residential Unit;176;1247.65;2369250
2025-01-27;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;438;551;2600000
2025-01-27;Al Rayyan;Muraikh;Vacant Land;4282;179;8250000
2025-01-27;Umm Slal;Umm Slal Muhammed;Residence;721;258;2000000
2025-01-27;Doha;Old Airport;Residence;158;600;1020000
2025-01-27;Doha;Old Al Ghanim 16;Residence;100;604;650000
2025-01-27;Al Daayen;Umm Qarn;Vacant Land;410;320;1412000
2025-01-27;Doha;The Pearl Island;Residential Unit;231;1568.49;3900000
2025-01-27;Al Daayen;Lusail 69;Residential Unit;116;2770.85;3463000
2025-01-27;Doha;The Pearl Island;Residential Unit;343;985.8;3650000
2025-01-27;Doha;Umm Ghuwailina;Residence;91;613;600000
2025-01-27;Doha;Madinat Khalifa North;Residence;496;412;2200000
2025-01-27;Al Rayyan;Muaither 55;Residence;366;543;2140000
2025-01-27;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;625;335;2253000
2025-01-27;Al Shamal;Madinat Al Shamal;Residence;748;186;1500000
2025-01-27;Al Daayen;Al Ebb;Vacant Land;666;628;4500000
2025-01-27;Al Daayen;Umm Qarn;Vacant Land;560;440;2650000
2025-01-27;Al Daayen;Umm Qarn;Vacant Land;433;558;2600000
2025-01-27;Doha;The Pearl Island;Residential Unit;175;1063.55;2009917
2025-01-27;Doha;The Pearl Island;Residential Unit;74;1516.02;1210000
2025-01-27;Doha;The Pearl Island;Residential Unit;86;1420.41;1330000
2025-01-26;Umm Slal;Umm Slal Ali;Vacant Land;562;280;1693800
2025-01-26;Al Khor and Al Dakhira;Al Khor;Residential Building and Shop;650;1097;7675000
2025-01-26;Al Khor and Al Dakhira;Al Khor;Vacant Land;762;213;1750000
2025-01-26;Doha;Al Mansoura;Residence;1056;1100;12500000
2025-01-26;Doha;New Slata;Residence;559;490;2950000
2025-01-26;Al Daayen;Al Ebb;Vacant Land;665;608;4350000
2025-01-26;Al Daayen;Umm Qarn;Vacant Land;402;578;2500000
2025-01-26;Al Daayen;Umm Qarn;Residence;400;430;1850000
2025-01-26;Doha;The Pearl Island;Residential Unit;102;1192.92;1320000
2025-01-26;Doha;Al Dafna 60;Residential Unit;153;1421.42;2349927
2025-01-26;Doha;Al Dafna 60;Residential Unit;153;1440;2380645
2025-01-26;Umm Slal;Al Kharaitiyat;Residence;889;567;5427976
2025-01-26;Doha;Old Airport;Residence;406;641;2800000
2025-01-26;Doha;Onaiza 65;Residence;1225;303;4000000
2025-01-26;Al Wakrah;Al Wukair;Vacant Land;1050;136;1540000
2025-01-26;Al Wakrah;Al Wukair;Vacant Land;470;271;1370000
2025-01-26;Al Wakrah;Al Mashaf;Vacant Land;586;270;1700000
2025-01-26;Doha;The Pearl Island;Residential Unit;96;1591.3;1650000
2025-01-26;Doha;The Pearl Island;Residential Unit;72;1390.02;1084000
2025-01-26;Doha;The Pearl Island;Residential Unit;87;1480.86;1400000
2025-01-26;Doha;Al Dafna 60;Residential Unit;153;1421.42;2348397
2025-01-26;Doha;Al Dafna 60;Residential Unit;148;1487.35;2380645
2025-01-26;Doha;Nuaija 41;Vacant Land;539;431;2500000
2025-01-26;Doha;Al Thumama 46;Vacant Land;426;375;1719500
2025-01-26;Doha;Old Airport;Residential Building;486;1195;6250000
2025-01-26;Al Rayyan;Gharrafat Al Rayyan;Residence;530;438;2500000
2025-01-26;Al Shamal;Al Ruwais;Vacant Land;1140;137;1681000
2025-01-26;Doha;The Pearl Island;Residential Unit;145;1181.08;1854575
2025-01-26;Doha;Al Dafna 60;Residential Unit;148;1421.42;2267154
2025-01-26;Doha;Al Dafna 60;Residential Unit;148;1440;2299425
2025-01-23;Umm Slal;Umm Slal Ali;Residence;472;388;1970000
2025-01-23;Al Khor and Al Dakhira;Al Khor;Residence;414;359;1600000
2025-01-23;Doha;Madinat Khalifa South;Residential Building;616;1591;10550000
2025-01-23;Doha;Al Hilal;Vacant Land;1035;359;4000000
2025-01-23;Doha;Al Hilal;Vacant Land;848;237;2160000
2025-01-23;Doha;Al Maamoura 43;Residence;798;349;3000000
2025-01-23;Al Sheehaniya;Lijmiliya;Residence;349;149;558287
2025-01-23;Al Wakrah;Al Wukair;Vacant Land;705;198;1500000
2025-01-23;Doha;The Pearl Island;Residential Unit;140;1088.86;1650000
2025-01-23;Doha;The Pearl Island;Residential Unit;58;1661.24;1050000
2025-01-23;Doha;The Pearl Island;Residential Unit;59;2345.64;1500000
2025-01-23;Umm Slal;Umm Al Amad;Vacant Land;613;265;1750000
2025-01-23;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;600;163;1050000
2025-01-23;Doha;Rawdat Al Khail;Residential Building;335;1387;5000000
2025-01-23;Al Rayyan;Muaither;Residence;217;364;850000
2025-01-23;Al Rayyan;Al Aziziya;Residence;456;285;1400000
2025-01-23;Al Daayen;Umm Qarn;Residence;499;503;2700000
2025-01-23;Al Wakrah;Al Wukair;Vacant Land;759;220;1797373
2025-01-23;Al Wakrah;Al Wakrah;Vacant Land;627;422;2850000
2025-01-23;Al Daayen;Lusail 69;Residential Unit;121;913.35;1195000
2025-01-23;Doha;The Pearl Island;Residential Unit;86;1441.76;1350000
2025-01-23;Umm Slal;Umm Al Amad;Vacant Land;604;269;1750000
2025-01-23;Al Khor and Al Dakhira;Al Dakhira;Residence;600;263;1700000
2025-01-23;Doha;Fereej Bin Omran;Residence;170;1066;1950000
2025-01-23;Al Rayyan;Al Aziziya;Residence;350;372;1400000
2025-01-23;Al Rayyan;Luaib;Vacant Land;990;350;3729726
2025-01-23;Al Daayen;Lusail 69;Residential Unit;79;983.84;840000
2025-01-23;Doha;The Pearl Island;Residential Unit;180;1262.06;2450000
2025-01-23;Doha;The Pearl Island;Residential Unit;184;1260.76;2500000
2025-01-22;Doha;Al Rufaa;Residence;213;654;1500000
2025-01-22;Al Rayyan;Al Luqta;Residence;893;323;3100000
2025-01-22;Al Rayyan;Bu Sidra;Residence;607;390;2550000
2025-01-22;Al Daayen;Al Sakhama;Vacant Land;10000;209;22550000
2025-01-22;Al Daayen;Lusail 69;Residential Unit;118;924.5;1184000
2025-01-22;Umm Slal;Umm Slal Ali;Vacant Land;516;324;1800000
2025-01-22;Umm Slal;Al Kharaitiyat;Vacant Land;600;201;1300000
2025-01-22;Doha;Old Al Ghanim 16;Residence;239;1030;2650000
2025-01-22;Doha;Al Rufaa;Residence;286;844;2600000
2025-01-22;Al Rayyan;Bu Hamour;Residence;450;454;2200000
2025-01-22;Al Shamal;Al Ruwais;Vacant Land;1140;121;1480000
2025-01-22;Al Wakrah;Al Wukair;Vacant Land;759;220;1797000
2025-01-22;Al Wakrah;Al Wakrah;Vacant Land;540;300;1743700
2025-01-22;Al Daayen;Lusail 69;Residential Unit;76;927.82;766000
2025-01-22;Doha;Legtaifiya;Residential Unit;138;905.8;1354860
2025-01-22;Umm Slal;Al Kharaitiyat;Residence;730;471;3700000
2025-01-22;Al Khor and Al Dakhira;Al Khor;Residence;525;265;1500000
2025-01-22;Doha;Al Thumama 46;Residence;420;553;2500000
2025-01-22;Al Rayyan;Bu Hamour;Vacant Land;1225;340;4483000
2025-01-22;Doha;The Pearl Island;Residential Unit;152;1128.15;1857808
2025-01-22;Doha;The Pearl Island;Residential Unit;172;999.07;1850000
2025-01-22;Doha;The Pearl Island;Residential Unit;175;1058.18;2000000
2025-01-21;Umm Slal;Umm Ebairiya;Residence;600;441;2850000
2025-01-21;Doha;Old Airport;Vacant Land;828;579;5157043
2025-01-21;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;438;233;1100000
2025-01-21;Al Daayen;Rawdat Al Hamama;Residence;1434;635;9800000
2025-01-21;Al Daayen;Umm Qarn;Vacant Land;632;275;1870783
2025-01-21;Al Wakrah;Al Wakrah;Vacant Land;540;300;1743700
2025-01-21;Al Daayen;Lusail 69;Residential Unit;47;1497.25;771000
2025-01-21;Al Daayen;Lusail 69;Residential Unit;99;888.38;955000
2025-01-21;Al Daayen;Lusail 69;Residential Unit;112;1124.32;1364023
2025-01-21;Doha;The Pearl Island;Residential Unit;213;956.36;2193900
2025-01-21;Doha;The Pearl Island;Residential Unit;213;956.14;2193900
2025-01-21;Doha;The Pearl Island;Residential Unit;139;1171.83;1765000
2025-01-21;Doha;Umm Lekhba;Residence;900;470;4550000
2025-01-21;Doha;Fereej Al Nasr;Residence;1321;662;9416500
2025-01-21;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;600;302;1950000
2025-01-21;Al Shamal;Aba Al Dalouf;Vacant Land;600;124;800000
2025-01-21;Al Wakrah;Al Wukair;Vacant Land;964;222;2300000
2025-01-21;Al Wakrah;Al Wakrah;Commercial Building;2298;1415;35000000
2025-01-21;Al Wakrah;Al Wakrah;Vacant Land;518;305;1700000
2025-01-21;Doha;The Pearl Island;Residential Unit;59;1609.32;1030000
2025-01-21;Doha;The Pearl Island;Residential Unit;191;1327.88;2740000
2025-01-21;Al Daayen;Lusail 69;Residential Unit;70;1291.42;980000
2025-01-21;Doha;Fereej Bin Derhem;Residential Building;120;929;1200000
2025-01-21;Doha;Najma;Commercial Building;1250;2601;35000000
2025-01-21;Doha;Al Thumama 50;Vacant Land;571;295;1814000
2025-01-21;Al Rayyan;New Al Rayyan;Residence;1117;262;3150000
2025-01-21;Al Rayyan;Bu Hamour;Residence;1010;377;4100000
2025-01-21;Al Daayen;Al Sakhama;Residence;595;523;3350000
2025-01-21;Al Daayen;Lusail 69;Residential Unit;138;726.91;1080000
2025-01-21;Doha;The Pearl Island;Residential Unit;171;935.14;1730000
2025-01-21;Al Daayen;Lusail 69;Residential Unit;138;737.11;1100000
2025-01-21;Doha;The Pearl Island;Residential Unit;214;956.32;2204200
2025-01-20;Umm Slal;Umm Slal Ali;Vacant Land;611;260;1710000
2025-01-20;Al Rayyan;Muaither 55;Residence;665;391;2800000
2025-01-20;Al Rayyan;Al Gharrafa;Residence;609;366;2400000
2025-01-20;Al Rayyan;Al Gharrafa;Residence;850;251;2300000
2025-01-20;Al Daayen;Al Sakhama;Vacant Land;774;250;2078876
2025-01-20;Al Daayen;Al Sakhama;Vacant Land;771;270;2236626
2025-01-20;Al Wakrah;Al Wukair;Vacant Land;709;215;1640000
2025-01-20;Al Daayen;Lusail 69;Residential Unit;47;1646.36;850266
2025-01-20;Al Daayen;Lusail 69;Residential Unit;72;1119.47;870000
2025-01-20;Al Daayen;Lusail 69;Residential Unit;140;1137.62;1720944
2025-01-20;Al Daayen;Lusail 69;Residential Unit;143;1121.92;1732579
2025-01-20;Al Rayyan;Al Sheehaniya;Vacant Land;1081;241;2800000
2025-01-20;Al Daayen;Lusail 69;Residential Unit;134;1221.13;1766180
2025-01-20;Doha;Umm Ghuwailina;Residence;239;933;2400000
2025-01-20;Al Rayyan;Muaither 53;Vacant Land;500;297;1600000
2025-01-20;Al Wakrah;Al Wukair;Residence;499;540;2900000
2025-01-20;Al Daayen;Lusail 69;Residential Unit;112;1104.11;1339502
2025-01-20;Al Daayen;Lusail 69;Residential Unit;132;1223.28;1739140
2025-01-20;Doha;The Pearl Island;Residential Unit;112;1235.52;1500000
2025-01-19;Umm Slal;Leabaib;Residence;596;405;2600000
2025-01-19;Doha;Old Airport;Residence;467;458;2300000
2025-01-19;Doha;Old Airport;Commercial Building;1608;2667;46166319
2025-01-19;Doha;New Al Hitmi;Vacant Land;464;641;3200000
2025-01-19;Doha;Nuaija 44;Residence;1616;450;7827775
2025-01-19;Doha;Madinat Khalifa South;Residence;916;551;5430000
2025-01-19;Doha;Madinat Khalifa South;Residence;834;630;5651850
2025-01-19;Al Rayyan;Lebday;Residence;716;285;2200000
2025-01-19;Al Rayyan;Al Aziziya;Vacant Land;805;340;2946179
2025-01-19;Al Daayen;Umm Qarn;Residence;400;348;1500000
2025-01-19;Al Daayen;Lusail 69;Residential Unit;168;1306.55;2370000
2025-01-19;Al Daayen;Lusail 69;Residential Unit;49;1171.39;628800
2025-01-19;Umm Slal;Umm Slal Muhammed;Residence;472;448;2275000
2025-01-19;Doha;Najma;Residential Building;145;1179;1840000
2025-01-19;Al Rayyan;Muaither 53;Building and Shops;749;1453;11714154
2025-01-19;Al Daayen;Umm Qarn;Residence;499;531;2850000
2025-01-19;Doha;The Pearl Island;Residential Unit;76;1738.03;1439955
2025-01-19;Al Daayen;Lusail 69;Residential Unit;129;1221.4;1708720
2025-01-19;Doha;The Pearl Island;Residential Unit;59;1720.14;1100000
2025-01-19;Al Daayen;Lusail 69;Residential Unit;155;940.47;1569790
2025-01-19;Umm Slal;Al Kharaitiyat;Residence;480;459;2370000
2025-01-19;Umm Slal;Umm Slal Ali;Residence;473;540;2750000
2025-01-19;Al Khor and Al Dakhira;Al Khor;Vacant Land;655;362;2550000
2025-01-19;Doha;Old Airport;Commercial Building;562;2667;16135243
2025-01-19;Doha;Old Airport;Residential Building;462;1287;6400000
2025-01-19;Doha;Al Thumama 47;Residence;2034;500;10947252
2025-01-19;Doha;Al Thumama 47;Residence;1819;500;9790094
2025-01-19;Doha;Fereej Al Nasr;Residence;874;662;6230145
2025-01-19;Al Rayyan;Muaither 53;Residence;129;346;480000
2025-01-19;Al Rayyan;Muaither 55;Residence;747;517;4158915
2025-01-19;Al Rayyan;Ain Khalid;Residence;1137;400;4895592
2025-01-19;Al Rayyan;Ain Khalid;Vacant Land;1200;400;5166852
2025-01-19;Al Rayyan;Al Waab;Residence;1176;687;8700000
2025-01-19;Al Wakrah;Al Thumama 50;Vacant Land;585;330;2078043
2025-01-19;Doha;The Pearl Island;Residential Unit;76;1739.82;1441440
2025-01-19;Doha;The Pearl Island;Residential Unit;77;1733.47;1440285
2025-01-16;Umm Slal;Izghawa 71;Vacant Land;828;393;3500000
2025-01-16;Doha;Al Messila;Residence;889;690;6600000
2025-01-16;Doha;Al Mansoura;Residential Building;589;1814;11500000
2025-01-16;Doha;Rawdat Al Khail;Residential Building;451;1442;7000000
2025-01-16;Al Rayyan;Muaither 53;Residence;668;257;1850000
2025-01-16;Al Rayyan;Muraikh;Vacant Land;21602;350;81385319
2025-01-16;Al Rayyan;Muraikh;Vacant Land;600;350;2260494
2025-01-16;Al Rayyan;Muraikh  South;Residence;1200;465;6000000
2025-01-16;Al Rayyan;Mebaireek;Vacant Land;759;190;1550000
2025-01-16;Al Shamal;Al Ruwais;Vacant Land;424;156;710000
2025-01-16;Al Daayen;Lusail 69;Residential Unit;112;1097.22;1325122
2025-01-16;Al Daayen;Lusail 69;Residential Unit;85;1151.49;1053784
2025-01-16;Al Daayen;Lusail 69;Residential Unit;115;1084.53;1347034
2025-01-16;Doha;The Pearl Island;Residential Unit;139;1235.55;1858976
2025-01-16;Al Daayen;Lusail 69;Residential Unit;112;1094.42;1327750
